Zip,Number_of_Requests
98103,79209
98122,70750
98107,66061
98144,63991
98115,57073
98118,56060
98102,51227
98109,50199
98125,49410
98108,48702
98105,45722
98117,39863
98106,39184
98119,34105
98133,34055
98104,34037
98112,31593
98116,30339
98101,29415
98126,28792
98199,21586
98134,20144
98121,20096
98136,12684
98177,7102
98178,5026
98146,2764
98155,1841
98195,1526
98168,861
98166,372
98188,165
98057,57
98148,34
98031,23
98058,10
98033,9
98237,6
98072,5
98003,4
98028,3
98036,3
98223,3
